"","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"1","fixed",NA,"(Intercept)",0.658248578428577,0.108544045520493,6.06434535650602,88.9999999995043,3.14680332112576e-08,0.442573872021102,0.873923284836053
"2","fixed",NA,"Burn_historyOld late",-0.0606045849285781,0.159772508916799,-0.379317977413359,88.999999998273,0.705355271281251,-0.378069156913021,0.256859987055864
"3","fixed",NA,"Burn_historyRecent early",-0.067879688857149,0.153504461289923,-0.442200104718422,88.9999999987469,0.659417129688064,-0.372889783719472,0.237130406005174
"4","fixed",NA,"Burn_historyRecent late",-0.117174689285721,0.153504461289923,-0.763330839384616,88.9999999987469,0.447284823339163,-0.422184784148044,0.187835405576603
"5","fixed",NA,"Horizon7",0.514328701285708,0.153504461289923,3.3505781979476,88.9999999986226,0.00118466269880617,0.209318606423379,0.819338796148037
"6","fixed",NA,"Horizon12",0.391385287571423,0.153504461289923,2.54966718414923,88.999999998747,0.0124938463766557,0.0863751927090999,0.696395382433747
"7","fixed",NA,"Horizon17",0.507554826999993,0.153504461289923,3.30645000630552,88.9999999986227,0.00136365869078779,0.202544732137664,0.812564921862322
"8","fixed",NA,"Burn_historyOld late:Horizon7",0.0986650617142928,0.225952449004514,0.436662944566366,88.9999999990903,0.663413359409483,-0.350297641559019,0.547627764987604
"9","fixed",NA,"Burn_historyRecent early:Horizon7",0.0158460812857207,0.217088091040985,0.0729937842731732,88.9999999995042,0.941974860647368,-0.415503331529231,0.447195494100672
"10","fixed",NA,"Burn_historyRecent late:Horizon7",-0.108498913571422,0.217088091040985,-0.499792103063535,88.9999999987468,0.618454898216104,-0.539848326386424,0.32285049924358
"11","fixed",NA,"Burn_historyOld late:Horizon12",0.216520118261911,0.225952449004514,0.958255240055333,88.999999998273,0.340529996698675,-0.232442585011458,0.665482821535279
"12","fixed",NA,"Burn_historyRecent early:Horizon12",0.13136664828572,0.217088091040985,0.605130606915321,88.9999999986227,0.546632105638162,-0.29998276452929,0.56271606110073
"13","fixed",NA,"Burn_historyRecent late:Horizon12",-0.13470673271428,0.217088091040985,-0.620516455178778,88.9999999986228,0.536503586836672,-0.56605614552929,0.29664268010073
"14","fixed",NA,"Burn_historyOld late:Horizon17",0.174207047700008,0.231956026368491,0.751034799256555,88.9999999994175,0.454612952463959,-0.286684635916343,0.635098731316359
"15","fixed",NA,"Burn_historyRecent early:Horizon17",0.113847584595245,0.221564605118864,0.513834709899484,88.9999999988639,0.608640958612005,-0.326396566340536,0.554091735531026
"16","fixed",NA,"Burn_historyRecent late:Horizon17",-0.42153472114285,0.221564605118864,-1.90253637721921,88.9999999988677,0.0603345022051444,-0.861778872078631,0.0187094297929312
"17","ran_pars","clust","sd__(Intercept)",1.46979149849582e-10,NA,NA,NA,NA,NA,NA
"18","ran_pars","Residual","sd__Observation",0.287180550744098,NA,NA,NA,NA,NA,NA
